,district_id,total_rev,total_locrev,pta_rev,prop_taxes,sales_taxes,public_utility_taxes,income_taxes,other_taxes,total_salaries,salaries_instruction,salaries_teachers
6020,2303870.0,8499000,2946000,1696000,0,0,0,0,0,3989000,2925000,1976000
6021,2303930.0,26113000,20878000,20286000,0,0,0,0,0,14930000,10221000,7850000
6022,2303980.0,1003000,958000,901000,0,0,0,0,0,33000,0,0
6023,2303990.0,182000,170000,170000,0,0,0,0,0,0,0,0
6024,2304080.0,1529000,1404000,1370000,0,0,0,0,0,612000,461000,396000
6025,2304110.0,663000,258000,254000,0,0,0,0,0,275000,191000,132000
6026,2304160.0,751000,360000,328000,0,0,0,0,0,312000,237000,133000
6027,2304440.0,148000,139000,139000,0,0,0,0,0,20000,0,0
6028,2304500.0,148000,144000,144000,0,0,0,0,0,5000,0,0
6029,2304620.0,500000,456000,447000,0,0,0,0,0,194000,164000,128000
6030,2304650.0,134000,123000,123000,0,0,0,0,0,24000,0,0
6031,2304830.0,1278000,1215000,1215000,0,0,0,0,0,3000,0,0
6032,2304860.0,5061000,2964000,2934000,0,0,0,0,0,1168000,769000,547000
6033,2304880.0,140000,137000,137000,0,0,0,0,0,0,0,0
